glove	respect
oak_tree	longevity, stability, strength, tolerance, wisdom, and prosperity
telephone_charger	you are feeling drained or empty
geisha	beauty, charm, poise and grace
shower_cap	you are trying to shield yourself from some emotional situation
penthouse	the creative and spiritual aspect of yourself
lasagna	warmth and comfort
stillborn	your lost of trust 
spinning_wheel	creativity
alligator	you feel violated or taken advantage of in some way
nirvana	knowledge, perfection and peace
scarf	self-restrictions
radish	some indiscretion or thoughtlessness
hawthorn	sex, lust, or sensuality
birth	you are giving birth to a new idea or project
underwater	your suppressed feelings as represented by the objects
limbo	your flexibility in some situation
alien	you are having difficulties adapting and adjusting to your new surroundings
roadkill	unavoidable death
circle	you will face many obstacles and setbacks toward achieving your goals
toy	you are being acknowledged for your good deeds
guide	a higher force is guiding you toward your goals
twin	your creative mind is clashing with your personal beliefs
berry	you will be involved with a fulfilling relationship or experience
market	some emotional or physical need that you are currently lacking in your life
interstate	your sense of direction and your life's path
landslide	emotions that you have been holding back for a long time
table	you will undergo some changes in your life which will relieve you of some dissatisfaction
air_conditioner	purification and relief
february	sadness, gloom and ill health
mental_institution	you are feeling ostracized or shunned
simon_says	you need to listen to directions carefully
asteroid	a spiritual message from above
debt	imbalance, struggle, worry and trouble in some personal situation or business matter
pond	tranquility
bowling_pin	an issue you are trying that to address or knock down
cupid	a love relationship in your waking life
beaver	energy ambition and productivity
mallet	force or willpower
neck	the relationship between the mind/mental and the body/physical
flea_market	you are feeling undervalued or under-appreciated
money	success and prosperity is within your reach
rich	pride and self confidence
slip	you are forcing yourself to do something you do not really want that to do
sagittarius	your high ideals
partner	you need to seek the help of others in order to accomplish a mutual goal
wine_cellar	all of your past experiences - both positive and negative
snake	you are refusing to see the danger in a situation
trunk	your personality, your character, and your inner sense of well being
ice	your insecurities and self-esteem issues
pyrite	something is too good to be true
dog_house	you are in big trouble
snow_globe	your desires for peace and serenity
belly_button	your deep connection with your mother
tram	you need to be more disciplined in certain aspects of your life
turmeric	passion and zest for life
astral_projection	you are looking at things from a whole new perspective
imitation	you are setting an example of yourself
quintuplets	the five senses: sight, smell, taste, hearing, and touch
treasure_chest	your hidden talents
sawdust	you need to clear up an emotional wound that was recently opened
roman_numerals	the initials of someone in your waking life
driving	you are experiencing major setbacks in your goals
squid	you are feeling self-conscious and worrying about how others perceive you
boutonniere	some special occasion
body	a situation or issue that you can no longer avoid
motorcycle	your desire for freedom 
panic	a lack of control and power in your life
polyester	you are just getting by in life
bustier	support and protection
delivery	disappointments
cab	you need to ask for help in order to be able to move forward in some waking situation
bed	you are having difficulties acknowledging your intimate self
leech	something in your life that is draining the energy and vigor out of you
auction	you are being denied something that you have earned
hot_sauce	you need to add some pizzazz to your life
nude	some anxiety about discovering the naked truth about that person or situation
headboard	you are being shielded from some information
molasses	a happy home life and good hospitality
beach_house	you need to take time off and relax
wanted	you are compromising your beliefs
contract	you need to think twice about committing to a relationship
drug	your need for a "quick fix" or an escape from reality
patient	you are going through a healing process
tobacco	you are holding back some negative feelings or comments
formaldehyde	something you are holding that onto for too long
volume	you are demanding to be heard
puppet	you are easily swayed by others and are allowing them to control you
airport	(arrivals) and death (departures)
wallpaper	you are putting up a barrier or some sort of shield between yourself and others
invincible	power and confidence
neighbor	enjoyment and tranquility at home
canteen	you are looking to easily and conveniently satisfy your emotional needs
sandwich_bag	a energy you are waiting that to exert
seal	your playfulness and jovial disposition
nursing_home	you need to reconnect with some elderly person in your waking life
door	new opportunities that are presented before you
brass	you need to smooth out the rough edges of your personality
fruit	your missed opportunities for growth and pleasure
picture	you need to focus more attention on some situation or relationship
ruler	your concerns about not measuring up to the standards of others
knuckle	hard work and diligence
miscarriage	some idea or plan did not go as expected
staple	you need to organize your life and keep things in order
tomb	you are still being held back by past pain and old fears
bus_stop	there is a decision you need that to make
massage	you are lacking sensual or sexual stimulation in your waking life
ax	you need to divide your problems into smaller, more manageable sizes
hugging	your loving and caring nature
police	structure, rules, power, authority and control
lockjaw	the current state of your body 
stranger	acknowledgement and acceptance of the repressed aspect of yourself
alcohol	contentment and satisfaction in the decisions that you have made
judge	feelings of guilt
floodlights	your desire to open up and be understood
artifact	an aspect of your former self that you still have not completely let go
salve	you will overcome your struggles
growl	danger
belly_button	your being and self
face	you are not expressing your feelings enough
spell	someone has a powerful influence on you
spiderman	you need to draw on your own inner strength and willpower in order to overcome adversity
beanbag	a carefree or lackadaisical attitude
cow	your willingness and drive to work hard
sled	childishness
cadillac	you are driven to succeed
running	an issue you are trying that to avoid
gurney	you need to slow down
lovebird	you are longing or missing for your partner
destruction	there is some chaos occurring in your life
portal	you are closing yourself off from others
beetle	some destructive influences may be at work in your waking life
die	you are looking for a new start
ham	you need to preserve your energy
cash	a fear of losing your place in the world
brew	patience, hard work, and tenacity will pay off in the long run
house_sitting	you are tending to the needs of others and putting their needs first instead of your needs
ermine	wealth, luxury and greed
anxiety	a reflection of what you may be feeling during your waking life
bubblegum	your overly carefree attitude
red_cross	you are in need of spiritual healing
water_cooler	you are literally bottling up your emotions
caveman	the savage and instinctual aspect of your character
swimming_pool	relaxation, calmness, luxury and ease
tour	you are ready to explore hidden and unknown aspects of yourself
glue	a fear of being trapped in some situation and not being able to get out of it
fortune_cookie	you are putting your fate in someone else's hand
crystal_skull	something you do not fully understand
forgive	it is time to let go of some past grudge, guilt, or resentment so that you can move ahead with your life
sign	you need help
bush	you are keeping something a secret and are not being completely open
magic	you need to look at things from a different view or approach your problems from a new angle in order to successfully move forward
architect	your creativity is being put to work
agate	peace, longevity, and health
menu	you are seeking some spiritual or emotional nourishment
selling	you are undergoing changes in your waking life
refrigerator	you need to warm up to somebody or some situation
fur	prosperity, status, and luxury
calm	you will experience many setbacks, especially if you continue to let your emotions run out of control
scorch	passion and heated emotions
summer	growth, knowledge, high productivity, tolerance and maturity
billboard	a sign or message you need that to take note of in your path toward your goals
whirlpool	emotional turmoil
eve	opposition in your social and business circles
owl	some illness or death
paddleboat	hard work and perseverance
kitten	a transitional phase toward independence
commercial	your tendency to jump from one thing to another without completing your initial responsibilities and tasks
pitcher	you are in control
post_office	an important message from your subconscious or inner wisdom
truth_or_dare	you need to hold true to your words and do what you say you are going to do
cashier	that you are re-evaluating your life and what you have accomplished
rosebush	you are involved in some prickly situation
floor	you are keeping your subconscious suppressed
chest	confidence, conquest and vitality
cockfight	you masculinity or pride is under attack
guacamole	a positive change
scrabble	you still need to piece together your thoughts and emotions
behind	feelings of rejection 
tortilla	wholeness
candle_wax	there is too much activity going on in your life
cannabis	a loss of control
bakery	richness and success
south_pole	your survival skills
embankment	the threat of trouble and unhappiness
jacuzzi	you need to cleanse your emotions and rid yourself of all the negativity you are experiencing in your sex life
shade	protection
textbook	you still have a lot of learning to do and knowledge to gain
birch	self-punishment or guilt issues
baking	your creative self and your ability to make things happen
lazy_susan	you are in a state of stagnation
venom	pent-up anger and hostility you may be expressing or experiencing from others
cop	you need to slow down and take things down a notch
flight	you are feeling helpless and trapped by some situation
magnolia_tree	your need for attention 
chili	intense passion and raw emotion
ship	you are feeling emotionally out of control
luxury	your lavish lifestyle
dot	routine and monotony
hut	the basic necessities and comforts
baboon	you need to be more expressive in your feelings
runaway	you are struggling with issues of belonging and acceptance
birdbath	spiritual cleansing
mulberry	protection from some negative force in your waking life
catsup	simplicity, youth, and happiness
picture_frame	a wish to have a current situation or relationship 
cameo	an aspect of yourself that you are trying to express
weather	the passage of time
wilderness	you are feeling uninhibited and free
feeding	someone in your life is in need of love and acceptance
rainbow	hope, success and good fortune in the form of money, prestige, or fame
liar	you will be irked by some deceitful person
accomplice	someone in your waking life is having a negative influence on you
vending_machine	the things that are just outside of your grasp or reach
aries	new beginnings and growth
chess	you are being stifled by some female character in your life
vine	your hopes ambitious thoughts or ideas
necromancer	your powerful influence over others
bullet	anger and aggression directed at you or someone else
cosmetic	you are trying to cover up or conceal an aspect of yourself
baggage_scanner	your identity is under scrutiny
gun	you should be careful in not letting your temper get out of control
amusement_park	you are denying yourself your time for fun and leisure
kali	the protective mother
pagoda	your own sense of spirituality
wing	your desire for a freer way of life
pit_bull	you are well protected or perhaps even overly protective
snow	a lost in innocence, impurity and uncleanness
glow_stick	a new direction that you are taking
old	there is something in your life that you need to replace or get rid of
vest	your compassion for others
sleeve	you need to protect yourself against your adversaries or haters out there
flight_attendant	travel plans in your future
mother	you are feeling neglected
tenant	you are ready for a committed relationship
pushpins	you need to open your eyes and look at what is in front on you
fair	you may be regressing into your childhood where times were simpler
butcher	pent up anger and hostility
sea_turtle	you are cautious when it comes to expressing your emotions
marmot	deceit and falsehood
infection	negative thoughts and ideas that you have internalized
forget_me_not	your lover and your relationship with her or him
reputation	you are too overly concerned with what other people think about you
dad	you are feeling disconnected with one of your parents
static	there is a lack of clarity and understanding
concussion	you are not utilizing your fullest potential
shock	a sudden awakening and new awareness
whirlwind	big changes ahead which may lead to loss, chaos and scandal
guard	your belief and/or your way of thinking is restricting your own growth
cape	you are trying to shield yourself from being emotionally hurt
vacuum	feelings of emptiness
moon	some hidden, mysterious aspect of yourself
stream	your emotions are cold and hardened
jellyfish	painful memories that is emerging from your subconscious
afterlife	your desire of escaping from your own reality
world_trade_center	some situation or relationship is collapsing around you
decay	the degradation of a situation or circumstance
smell	your past experiences and feelings you associate with that particular smell
magazine	you are opened to various new ideas
stuffed_animal	something that was originally emotionally comforting is now giving you much stress
trapdoor	unexpected opportunities that will come your way
immaculate_conception	you are opening up yourself to a new level of spirituality or consciousness
madness	gloominess, despair and hopelessness
height	you have reached one of your highest goals or objectives
terrorist	your frustrations is giving way to your violent tendencies
jigsaw_puzzle	a mental challenge or a problem in your waking life you need that to solve
fox	you need to be careful with who you trust
pincer	you are going to great lengths to try to get your hands on something, even through underhanded means
lodestone	your alluring and magnetic personality
phantom	guilt, fear, and/or repressed memories
work	your concern about your current job security
pirate	you are taking advantage of others
bellhop	you are carrying the burdens of others on your shoulders
barrette	you are open to a new idea
slippery	a lack of progress in some endeavor
mistress	your subconscious desire to end your current relationship
hair	sexual virility, seduction, sensuality, vanity, and health
darkness	you have insufficient information to make a clear decision
scanner	an unrest within your subconscious that needs your immediate attention
daughter-in-law	an unusual and unexpected incident will either give you much happiness or distress, depending on her demeanor in your dream
cage_fighting	you are feeling restricted or confined in a current relationship
sorry	sorry 
chrysanthemums	abundance, prosperity, humility, longevity, and gratitude
hollywood	fame and glamour
apple_tree	grandeur and magnificence
balcony	your desire to be seen and noticed
chemical	creativity, manipulation and/or intellectual power
teacher	there are still things you need to learn when it comes to sex
bull	stubbornness
name_badge	your identity
die	you are experience a relapse of sorts
freckles	your distinct and unique character
gutter	degradation and unhappiness
egg	an idea that has emerged from your subconscious
spider	your desires will be soon be realized
malpractice	a need to change your ways and attitude
undead	your fears and the rejected aspects of yourself
eating	loss, loneliness, and depression
tiger	power and your ability to exert it in various situations
collapse	you are pushing yourself too hard
fox	insight, cleverness, cunningness and resourcefulness
top	your goals, aspirations and ideals
oven_mitt	you are dealing with some emotional situation or issue in your life that needs to be handled with care
ass	after much patience and hard work, you will succeed in your professional and personal life
net	you are caught in a complicated life situation
hexagram	order and harmony in some aspect of your life
accelerator	you will achieve your goals through your own efforts
speed	you are putting yourself in a dangerous situation, particularly if you do not use speed in your waking life
blizzard	you are feeling emotionally cold and frigid
orphanage	your sense of belonging or the lack of
armor	insecurity
nose	a conscious effort to achieve whatever endeavor you chose to undertake
muffin	your taste 
vineyard	the fruits of your labor and your life experiences
bog	the repressed and dark aspects of yourself
bed	your intimate self and discovery of your sexuality
leaf	new found happiness and improvements in various aspects of your life
alloy	you will experience some complications in your professional life
hem	your indecisiveness
god	your own special talents which you have not yet recognized or fully developed
thrift_shop	there are things from your past experiences you can still learn that from
ace	ambiguity in your life
beef	your animal instinct and animalistic energy
tornado	you are feeling overwhelmed and out of control
ex-boyfriend	your ex still has some sort of emotional hold on you
bingo	a sudden revelation
paddling	a hard and difficult journey or path
opponent	an aspect of yourself in which you are in conflict with
accordion	intense emotions that are causing physical strain to your body
acid	you are emotionally paralyzed and need to learn how to express yourself
mildew	neglected feelings and emotions 
sideburns	you are giving serious thought to some issue or problem
paperclip	you are trying to hold together a relationship
speech	you are not being acknowledged for your work or achievements
compassion	you are lacking this quality in your waking life
beating	you are shoving your own views and opinions on others
accent	you are having difficulties conveying your thoughts
winter	ill-health, depression, and misfortune
crown	success and prominence
sphinx	fear of the unknown
roughneck	hard work and dedication
moving	your desire or need for change
pulling	your burdens and struggles
cotton	you are seeing little benefits from all your long hard work
mango	fertility, sexual desires, and lust
auditorium	there is something you need that to learn from others
woman	nurturance, passivity, caring nature, and love
scepter	individual power
handball	in order to achieve the goals in your waking life
bush	feminine emotions and desires
uterus	your desire for children or your nervousness about a pending birth
footstep	you are worrying over some issue or problem
treasure	you have unveiled some hidden skill or talent
wingsuit	your lofty aspirations and carefree attitude
suntan	you are not properly acknowledging a quality or aspect of that person within your own self
stutter	your inability to make yourself heard and express yourself clearly
up	you are emerging from some depressing or negative situation
christ	perfection of the self and spiritual truth
university	you are going through some social or cultural changes
number	material gains and possessions
prybar	someone is making you confront some issue that you are not ready to deal with
parent	you are undergoing a significant change in your waking life
clutter	you need to clean up and organize a certain aspect of your life
plum	youth and vitality
electricity	vigor and life energy
holy_water	a need for spiritual cleansing and rejuvenation
war	disorder and chaos in your waking life 
swab	your need for healing and/or cleansing
leprechaun	through perseverance and dedication, you will reap the benefits and rewards of your hard work
christmas	family togetherness, reunions, celebration, peace, goodwill, generosity, and human kindness
rising	unexpected wealth and pleasures
box	an aspect of yourself that was once hidden 
path	you need to give serious attention to the direction you are heading in your personal and/or business life
radio	your awareness and intuition toward a particular situation
dad	you are doing something that he may disapprove
raccoon	deceit and thievery
feast	your emotional needs or sexual appetite
observe	your passiveness
funeral	something in your life needs to put to rest or put aside so that you can make room for something new
trainer	you need to keep your negative behavior in check
orb	truth and a sudden understanding or realization
composer	you are creating or directing new found energies to some aspect of your life
certificate	you are seeking some validity and truth to some situation
origami	your creativity
hysterectomy	you are going into new stage of growth in your life
sugar	the pleasures and enjoyment that you are denying yourself in your life
wet_nurse	you need to be careful in who you trust and you confide who in
b	a pun on "to be"
neck_brace	your support system
stepfather	authority and protection
coat	you are feeling down on yourself
asylum	you are feeling tremendous mental strain and are trying to reach out for help
miniature	you are feeling larger than life
heating_pad	you are harboring a lot of anger
nest	comfort, safety, homeliness, protection, or new opportunities
pickle	some anxiety and fear of coming trouble
forest	transformation and regeneration is only possible through some hardships
stamp	a need for communication
salmon	determination, strength, and wisdom
herpes	your sexual anxiety and worries
rudder	the path that your life is taking and the decisions you are making throughout this path
visitor	you need to look at the overall picture on some issue
fighting	inner turmoil
blueprint	you need to pay closer attention at the details before proceeding forward with some plan or relationship
diving	you are feeling anxious about how you have handled certain issues in your waking life
parachute	you are let down by someone you relied on and trusted
earwax	there is something you are refusing to hear
movement	a fear of failure
jumping	you need to take a risk and go for it
broadcast	your desire to have your voice heard and get your message out there
shoemaker	a situation or relationship you thought that was dead or dormant is active again
amusement_park	you need to open yourself to more fun and adventure
valedictorian	your accomplishments and the high goals you have set for yourself
ermine	your associations with wealthy people
fly	you will redeem yourself and regain your honor after your fall from grace
journey	, self-discovery or progress
arithmetic	you are evaluating a situation in your waking life where you need to be more rational in your thinking
sandpaper	you need to smooth over some rough spots in your situation or relationship
hoof	balance, grace, and discipline
stick	the phallus and your attitude toward sex
bowel_movement	you are successfully getting rid of your old habits/ways and thinking patterns
goodbye	an end to your worries
fighting	you are unwilling to acknowledge your own problems and turmoil
paralyzed	the current state of your body 
mechanic	you need to work on healing your past hurts and trauma
photographer	your desire to hold on to a certain image, time or period in your life
time_capsule	some current knowledge or information will help you or someone in the future
eunuch	fears of losing your virility
inner_tube	the Self
misshapen	undeveloped aspects of yourself 
lava	violent anger which you have kept inside for a period of time
sundae	joy, pleasure, togetherness and satisfaction with your waking life
investment	your preparation for the future
contest	the need to prove yourself as worthy and deserving
boundary	something is restricting your growth and hindering your goals
hawthorn	fertility and rebirth
found	you are coming into contact with some aspect of your psyche or subconscious
vicar	you need to recognize your spiritual needs
tooth	a lack of self-confidence and embarrassment
cricket	you are letting minor things bother you
zipper	in expressing your sexual desires or feelings
sesame	something that you are processing in your waking life
football	your competitive nature
disco_ball	your fun and free spirit
greenhouse	transformation
lamppost	light needs to be shed on some dark situation
trash	you can find value in the least expected of places
procession	you are ready to stand up for your beliefs
equal_sign	balance and symmetry
cult	your authoritarian attitude
cop	your own sense of morality and conscience
aquarium	you have acknowledged your emotions but have not yet confronted them
worry	worried about something 
slot_machine	you need to be more careful with your spending
horoscope	you are expressing some concerns about your future
comedy	you need to try and find the humorous side of a situation especially when things seem to get too intense
hurt	wounded emotions or feelings that you may have suppressed
agreement	resolution to a conflict or problem
wood	you are feeling dead and emotionless inside
neighborhood	a sense of community
family	security, warmth and love
leash	you need to show more restraint with regards to your sexual urges and desires
january	loss of love and broken companionship
prank	you need to start taking things more seriously
dolphin	spiritual guidance, intellect, mental attributes and emotional trust
chocolate_milk	you are feeling good about life
thimble	you need to tend to the needs of others instead of pursuing your own self-pleasures
asters	your hopes, wishes, and your dreams
nearsighted	your efforts and energies are too focused on short term goals and not on preparing for the long term of the future
tubing	you are on experiencing emotional ups and downs
root	the depths and core of your subconscious mind and soul
lap	your caring and supportive nature
mail	you need to communicate or re-establish contact with someone from your present or past
feces	aspects of yourself that are dirty and negative and which you believe to be undesirable and repulsive
drafting_compass	your set path
scale	concerns about your weight and your image
gas	you need to be reenergized
monk	the introspective aspect of yourself
roller_skate	someone in your life who may be "skating" around some issue
mayor	your need for guidance
polo	a life of wealth, access and prestige
city	your social environment and sense of community
fortune	inner riches, untapped resources, and unexpressed talents
mud	you are feeling weighed down by a situation, problem, or relationship
bok_choy	you need to stop dwelling on minor things in your life
tiger	the emotions that you have repressed 
moon	cyclic changes, renewal, and movement
hammer	your determination and drive in pursing your goals
grapefruit	symbolic of your talents, belief system and good deeds
mulch	you are putting up some sort of protective layer or emotional barrier
watermelon	emotions of love, desire, lust, and fiery passion
rumor	a hidden message from your subconscious
dollhouse	you are idealizing family life
pretty	you need to acknowledge the beauty within yourself
linden	joy, happiness, friendships and beauty
kitten	you have trouble expressing yourself in a personal relationship
air	discordance in your domestic relations and setbacks in your business affairs
croissant	you are lacking some affection or love in your life
crow	you are unable to or refuse to give up a habit
clothing_store	you are looking for a new image
gazebo	your openness and receptiveness toward some relationship
cult	you are in some destructive and/or manipulative relationship
apron	you or someone is making a commitment to work on some familial task
right	deliberate action and rational thoughts
israel	you are experiencing some personal spiritual unrest
warning	something in your waking life is in need of your attention
orange	satisfaction with your life 
splash	you want to share your excitement with those around you
tragedy	you are experiencing some form of grief or remorse
revelation	a new or bright outlook toward a situation
will	you are looking ahead to the future
driveway	an end to your journey
ferry	you are going through some transitional phases in your life
bleach	a time of healing and cleansing
mop	domesticity and the monotony of your daily routine
panther	lurking danger and enemies working to do you harm
ambulance	a fear of letting go your old Self and making space for the new you
adversity	your pessimistic outlook in life
penitentiary	an aspect of yourself that you are unable to express freely
tent	you need a temporary change to your daily routine
separation	you are experiencing some separation anxiety
butler	you are depending too much on others for their help
ambulance	some aspect of your psyche is injured and needs immediate care and attention
hairclip	you are open to a new idea
muff	a solid foundation of fortune
bear_trap	obstacles in your path that may be difficult to overcome
swing	you are experiencing great satisfaction and freedom in your waking life
pastel	you are not fully recognizing and dealing with some part of your emotions
locksmith	you will play an integral role in an important upcoming project
suicide	your desperate desire to escape from your waking life
wisdom_tooth	new or emerging knowledge
jesus	your need for help
ringmaster	you are taking control of your hectic life
dog_food	you need to address some animalistic or primitive thoughts
piano	harmony in your life
scoreboard	how you are doing in life and how you compare to others
booster_cable	you need to get a jumpstart on your goals
catch	your carefree attitude
flask	you are trying to keep a certain feeling or hope alive
mortuary	you are hindering your own self-growth by not utilizing your abilities and talents
infinity	time and longevity
ringworms	a major annoyance or frustration in your waking life
toilet_seat	you are opening up your emotions to others
usher	you are in need for some guidance in your life
abyss	the depths of your subconscious
tombstone	a major change occurring in some aspect of your life
walking_stick	you are in need of support
stucco	your hard protective shell
age	anxiety and concern of growing older
jack	your ability to take advantage of what life has to offer
gavel	a resolution to a problem
trail	your progress in life
period	the end to something
inside_out	you are trying to protect yourself against something
tambourine	the rhythm 
bay	understanding
emotionless	you are closing yourself off from those around you
headless	you are under some negative influence
ship	you need to move on and let go
electric_guitar	the power and strength of your passions
bird's_eye_view	you are on top of a situation
launch	a new project or relationship is taking off
scissor	decisiveness and control in your waking life
cast	your motion is being inhibited in some way
class	in class 
ash_tree	stability, protection, unity and solidarity
gift_wrap	there is something you are trying that to cover up or hide
unknown	a part of yourself that is repressed and hidden
infertile	a lack of creativity
betta_fish	thoughts from your subconscious is close to emerging to the surface
exterminator	you need to cut off ties from those who try to pull you down
shotgun	you need to better focus your energies toward your goal
hood	you are hiding and cowering from a person or situation
quarantine	you need to distance yourself from others or from a situation
water_lily	grief, sorrow, and bereavement
dominatrix	your need for power and control
bodyguard	your desire to protect others from emotional hurt
dinner	you need to do some serious thinking about your goals and directions in life
firebrand	burning passion or 
mathematics	you are evaluating a situation in your waking life where you need to be more rational in your thinking
smoke_ring	your judgment is being clouded
audition	feelings of insecurity and vulnerability
morning	fortune and pleasure are within near reach
watchman	you need to be on the look out for something or someone out to do you harm
avenue	your life's path
poison	you are introducing something that is harmful to your well-beinginto yourself 
printer	you are trying to express a thought or idea in a way that others can understand
crawl_space	your subconscious
cheek	commitment, intimacy, and closeness
sleepy	you are letting an opportunity pass you by if you do not take action
eye	your refusal to see the truth about something or the avoidance of intimacy
hen	gossip and calamity
teddy_bear	a regression to an earlier state
cash	success and prosperity is within your reach
ink	creativity
charades	there is something you are not able to put that into words or articulate
spear	power and fertility
field_trip	you need to incorporate what you have learned with your experiences
driving	menial tasks are providing little opportunities for advancement
north	reality
cremains	change
fawn	true friends and faithfulness in love
hail	you are going through a period of difficult times
tempest	a violent emotional outbreak
prawn	you are feeling overpowered and insignificant
ski_lift	you are achieving new heights and overcoming your fears
island	ease, relaxation and comfort
seesaw	the ups and downs of your emotions and of your life in general
stomach	this person is trying to reach out to you
workshop	the development of your skills
sibyl	insight, intuition and feminine instinct
zebra	you are trying to escape from a dangerous relationship or situation
cauldron	you are undergoing some transformation
stretcher	there is trouble ahead for you in the near future
incubator	you need some stability and calmness in your life
wolf	a cry for help from somebody in your waking life
fugitive	you are compromising your beliefs
urn	feelings that have burned out or that you are feeling burnt out and exhausted
puppy	you are looking to recapture a more playful or carefree side of your persona
newton's_cradle	you are expending your energy on fruitless endeavors
librarian	a creative and knowledgeable mind
string	binding, cohesion, or joining, depending on the context of the dream
hamburger	you are lacking some emotional, intellectual, or physical component in order to feel whole again
teleprompter	you are not saying what you really feel
beautiful	you admire and appreciate
pall	bad news, bereavement, or grief
hot_pepper	your hot temper
rhinoceros	you need to forge ahead toward your goals
deck	your connection with your Self and with nature
celery	your need to be cleansed, either physically or emotionally
tower	your quest for spirituality and subconscious ideas that may be surfacing
year	a passage of time
diving	you have overcome your obstacles and setbacks
tapestry	your past and your current life experiences
cake	you have accepted the rewards and recognition you are getting for our work
page	your lack of motivation
buffet	some relationship is consuming your energies
faucet	sexual issues and problems
neptune	some supercharged emotion you need that to address in your waking life
dandruff	you are misusing your energy
vein	a challenge that will test your character and ability
rowing	a hard and difficult journey or path
trip	you are having a difficult time trying to relax and being at ease
alley	you have limited options
moving	you are still holding onto some aspect of the relationship
threshing	satisfaction in your professional and personal relationships
abyss	an obstacle that is creating much anxiety for you
lunch	you are lacking spiritual enrichment and enlightenment in some area of your life
kelp	the emotional difficulties that you experience in life
insurance	a lack of trust
license_plate	freedom to run your own life and to do you want what to do
werewolf	something in your life is not what it seems
sequoia	longevity and continuity
kite	your spiritual or childlike awareness
syrup	sentimentality and nostalgia
splinter	you are letting petty and trivial matters upset you
assembly	you are learning to accept and integrate the various aspects of yourself
godmother	you are looking for advice and direction in life
eye	you are confused about something and are looking for clarity to some problem or situation
mug	you are trying to keep a certain feeling or hope alive
intersection	a decision or choice you need that to make in order to progress forward
fireplace	contentment, warmth, and comfort
crocodile	freedom, hidden strength and power
cut	you are being let down or being undermined
woke	a spiritual rebirth
sewing	you are trying to make amends with others
cello	sensual or creative achievements
space	exploration and independent thinking
adversity	the obstacles that you are facing in your waking life
barley	good health, progress, and satisfaction with your life
pear	the womb and fertility
aquarius	new ideas, individuality and innovation
blowhole	sudden outbursts of emotion, usually anger
detective	the thrills and dangers in some aspect of your waking life
passenger	you are not in control of your life
lead	there is a problem or issue that is burdening you
inquisition	feelings of guilt
magpie	some malicious rumors
jasper	longevity and healing
quarry	you have dug yourself into an emotional hole
hostility	you are repressing these feelings in your waking life and they are manifesting in your dream
wage	a reward for a job 
diskette	the transfer of ideas and advices from one person to another
abbreviation	the initials of someone in your life
dozing	you are letting an opportunity is passing you by if you do not take action
cellar	a part of your subconscious mind where you have kept your fears and problems hidden
vat	the womb and a sense of security
owl	lacking insight
remote_control	how your buttons are being pushed by someone
hospitality	your generosity and kindness toward others
locker	someone can see right through you and your facade
celtic_knot	continuity, longevity, good health and/or immortality
beggar	your sense of insecurity and lack of self-worth
buzzard	death and decay
eyelash	you are having difficulties expressing yourself
face	erupting emotions
interest	your hard work will pay off in the long run
advisor	you are seeking for some support and direction in your life
